,Название,Цена,Вес,Время работы,Время зарядки,Длина хода,Емкость батареи,Рабочее напряжение,Модель,Материал,Мощность,Мотор,Производство,Гарантия,Об / мин,Ссылка на продукт,Фотография,source
0,Роторная тату машинка Mast P10 purple,6440,117 г,,,,,5 - 8 V 9000 об/мин,,алюминий,3 Ватт,Япония,DragonHawk,6 месяцев,,,,tatu-shop
1,"Беспроводная тату машинка Yilong F6 Stroke 4,0mm Red",13940,200 г,до 8 часов,2 часа,,,4-12 V,,Авиационный алюминий с защитным покрытием,,Бесщеточный двигатель 12V-10000 об/мин,,,,,,tatu-shop
2,Беспроводная тату машинка EZ Popu Diva PMU 6 Stroke Shadow,18990,487 гр,5 -7 ч,2 ч,"0 - 4,5 мм",1600 mA/ч,4 - 12V,EZ Popu Diva,авиационный алюминий с защитным покрытием,,,EZ Tattoo,6 месяцев,,,,tatu-shop
3,Беспроводная машинка для татуажа EZ LOLA LIGHT PMU Rose Gold,9890,81 гр,3-5 часов,,"0-4,5 мм",800 mA/ч,4-12V,EZ LOLA LIGHT,Авиационный алюминий,,Coreless Motor 12V/10000 об/мин,,6 месяцев,,,,tatu-shop
4,Роторная тату машинка EZ P4 Mini Black,7990,,,,,,,,,,,,,,,,tatu-shop
5,Роторная тату машинка Pen Hummingbird Bronc V9 red,9990,150 гр,,,,,6-9 V,,авиационный алюминий,,"Швейцария 8W, 12000 об/мин",,6 месяцев,,,,tatu-shop
6,Беспроводная тату машинка AVA UNi-B Adjustable stroke 2.5-4.5mm Grey,14990,600 г,6-8 часов,2 часа,,,"4,5-12 V",AVA UNi-B,авиационный алюминий,5 W,AVA motor Metal Brush DC motor - 10500 об/мин,AVA TATTOO MACHINE,6 месяцев,,,,tatu-shop
7,Беспроводная роторная тату машинка Vlad Blad Ultron 3 MAX Stroke 3.7mm,99850,201 г,до 11 часов,,,,,,,,,Vlad Blad (Россия),1 год,,,,tatu-shop
8,Роторная тату машинка Dragon Small-x3 green,1945,110 г,,,,,,Dragon Small-x3,,,Тайвань,Yilong Tattoo Supply,,,,,tatu-shop
9,Беспроводная машинка для татуажа Mast P40 PMU Stroke 2.5mm Pink,9950,120 г,5 часов,,"0-3,5 мм",,4-10V,Mast P40,Авиационный алюминий,,Mast Special Edition Coreless Motor 10V/10000 об,,6 месяцев,,,,tatu-shop
10,Беспроводная тату машинка MT Mustang Evolution Pen 3 Metal,44990,,до 10 часов,,,,5-13 V,MT Mustang Evolution Pen 3,Авиационный алюминий с защитным покрытием,,Бесколлекторный двигатель,Mustang Tattoo (Россия),12 месяцев,,,,tatu-shop
11,Беспроводная машинка для татуажа EZ LOLA LIGHT PMU x 2Power Rose Gold,11850,81 гр,3-5 часов,,"0-4,5 мм",800 mA/ч,4-12V,EZ LOLA LIGHT,Авиационный алюминий,,Coreless Motor 12V/10000 об/мин,,6 месяцев,,,,tatu-shop
12,,,,,,,,,,,,,,,,,,28opt
13,,,,,,,,,,,,,,,,,,28opt
14,,,,,,,,,,,,,,,,,,28opt
15,,,,,,,,,,,,,,,,,,28opt
16,"Тату-машинка для художественной татуировки EZ Portex Generation P2S, Black",10580,197 г,,,"3,5 мм",1800 мАч,5-9 В постоянного тока,,авиационный алюминий,,EZ Customized Swiss Motor,EZ Tattoo (КНР),6 месяцев,10800 об / мин ± 10%,,,28opt
17,"Роторная тату-машинка для художественной татуировки EZ Filter V2 Plus, Dark Gray",5950,,,,"3,8 мм",,6-11 В,,авиационный алюминий,,,EZ Tattoo (КНР),,,,,28opt
18,"Тату-машинка для художественной татуировки EZ P4 SE, Matte Black",8344,195 г,,,"3,5 мм",,,,авиационный алюминий,,,EZ Tattoo (КНР),,7000-9000,,,28opt
19,"Роторная тату-машинка для художественной татуировки EZ Filter V2 Plus, Bronze",5950,,,,"3,8 мм",,6-11 V,,авиационный алюминий,,,EZ Tattoo (КНР),,,,,28opt
20,Роторная тату-машинка для художественной татуировки EZ-Circle,11909,300 г,,,,,,,авиационный алюминий,,10 Вт,EZ Tattoo (КНР),,,,,28opt
21,"Роторная тату-машинка для художественной татуировки EZ, Portex Gen2 VERSATILE, Black",12035,185 г,,,"3,5 мм",1000 мАч,5-12 В,,,,EZ Customized Swiss Motor,EZ Tattoo (КНР),6 месяцев,,,,28opt
